('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765336 function calls (741322 primitive calls) in 8.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      194    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      104    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      130    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
       50    0.000    0.000    0.002    0.000 typing.py:885(__init__)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
       13    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
      135    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       27    0.000    0.000    0.006    0.000 typing.py:1548(__getitem__)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       27    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       50    0.000    0.000    0.003    0.000 parser.py:123(set_cdata_mode)
    51/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       69    0.000    0.000    0.002    0.000 css_types.py:251(__init__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.010    0.010 _status_codes.py:1(<module>)
        8    0.000    0.000    0.001    0.000 inspect.py:2366(_signature_from_function)
       33    0.000    0.000    0.009    0.000 typing.py:740(Optional)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
       51    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
      182    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       54    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      142    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       25    0.000    0.000    0.001    0.000 _receivebuffer.py:87(maybe_extract_next_line)
        2    0.000    0.000    0.001    0.000 _models.py:231(multi_items)
       21    0.000    0.000    0.003    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       27    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       57    0.000    0.000    0.006    0.000 _htmlparser.py:127(handle_startendtag)
      196    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      128    0.000    0.000    0.000    0.000 _models.py:166(encoding)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        8    0.000    0.000    0.001    0.000 _models.py:144(__init__)
    38/29    0.000    0.000    0.061    0.002 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.408    0.408 dammit.py:1(<module>)
       41    0.000    0.000    0.001    0.000 typing.py:1415(__mro_entries__)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.006    0.006 _models.py:641(text)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
       90    0.000    0.000    0.000    0.000 typing_extensions.py:2916(_check_generic)
      121    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       86    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       24    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
        1    0.000    0.000    0.022    0.022 socket.py:1(<module>)
       27    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
       21    0.000    0.000    0.002    0.000 ipaddress.py:1502(__init__)
    26/16    0.000    0.000    0.616    0.039 {built-in method builtins.__import__}
      105    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
       64    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       57    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
       39    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       24    0.000    0.000    0.005    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.273    0.273 _client.py:1(<module>)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       22    0.000    0.000    0.000    0.000 inspect.py:2712(__init__)
      142    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
       76    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
       30    0.000    0.000    0.000    0.000 inspect.py:3045(<genexpr>)
        3    0.000    0.000    0.001    0.000 _models.py:53(enforce_headers)
        1    0.000    0.000    0.001    0.001 request.py:2505(getproxies_environment)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        2    0.000    0.000    0.021    0.011 _sockets.py:1(<module>)
      154    0.000    0.000    0.000    0.000 enum.py:1292(value)
       57    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
        1    0.000    0.000    0.379    0.379 css_parser.py:1(<module>)
        2    0.000    0.000    0.017    0.008 _streams.py:1(<module>)
       27    0.000    0.000    0.001    0.000 _readers.py:64(_decode_header_lines)
       80    0.000    0.000    0.002    0.000 typing.py:1557(<genexpr>)
       16    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       76    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
        1    0.000    0.000    0.027    0.027 _multipart.py:1(<module>)
       24    0.000    0.000    0.001    0.000 dataclasses.py:250(_recursive_repr)
       98    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
       15    0.000    0.000    0.003    0.000 typing.py:1533(__getitem_inner__)
       75    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
       98    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       27    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       15    0.000    0.000    0.000    0.000 inspect.py:2998(__init__)
        3    0.000    0.000    0.003    0.001 typing.py:2780(__new__)
       98    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       31    0.000    0.000    0.001    0.000 ipaddress.py:1286(__init__)
       22    0.000    0.000    0.001    0.000 ipaddress.py:1187(_ip_int_from_string)
        7    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.006    0.006 __init__.py:133(BeautifulSoup)
       13    0.000    0.000    0.005    0.000 dataclasses.py:638(_frozen_get_del_attr)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        7    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
       68    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.002    0.002 encoder.py:1(<module>)
       98    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
       14    0.000    0.000    0.001    0.000 filter.py:612(_attribute_match)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.013    0.013 _types.py:1(<module>)
       70    0.000    0.000    0.000    0.000 typing.py:1061(<genexpr>)
        1    0.000    0.000    0.820    0.820 element.py:1(<module>)
        6    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
        2    0.000    0.000    0.100    0.050 _synchronization.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _status_codes.py:8(codes)
       28    0.000    0.000    0.000    0.000 typing.py:2476(overload)
        1    0.000    0.000    0.000    0.000 _eventloop.py:56(AsyncBackend)
       84    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
       19    0.000    0.000    0.003    0.000 typing.py:1519(__getitem__)
       98    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
       33    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
    51/21    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       45    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
       54    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.116    0.116 request.py:1(<module>)
        1    0.000    0.000    0.019    0.019 ssl.py:1(<module>)
        1    0.000    0.000    1.394    1.394 http11.py:65(handle_request)
        1    0.000    0.000    0.006    0.006 ipaddress.py:1(<module>)
       21    0.000    0.000    0.000    0.000 inspect.py:2001(_signature_get_user_defined_method)
        1    0.000    0.000    0.011    0.011 css_types.py:1(<module>)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:443(__setattr__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       96    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.000    0.000    0.160    0.080 connection.py:1(<module>)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        3    0.000    0.000    0.002    0.001 _exceptions.py:1(<module>)
        1    0.000    0.000    0.091    0.091 client.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _urlparse.py:213(urlparse)
       13    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        2    0.000    0.000    0.111    0.055 _models.py:1(<module>)
        5    0.000    0.000    0.001    0.000 typing.py:746(Literal)
        1    0.000    0.000    0.018    0.018 _readers.py:1(<module>)
        1    0.000    0.000    0.009    0.009 memory.py:1(<module>)
       35    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
        1    0.000    0.000    0.010    0.010 parse.py:1(<module>)
       27    0.000    0.000    0.000    0.000 _readers.py:43(_obsolete_line_fold)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        2    0.000    0.000    0.001    0.000 http_proxy.py:1(<module>)
       24    0.000    0.000    0.033    0.001 dataclasses.py:1257(wrap)
        2    0.000    0.000    0.000    0.000 _typedattr.py:25(__init_subclass__)
    57/50    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.002    0.002 dammit.py:734(UnicodeDammit)
        1    0.000    0.000    0.005    0.005 _common.py:1(<module>)
       74    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.032    0.032 cookiejar.py:1(<module>)
       17    0.000    0.000    0.001    0.000 inspect.py:1456(formatannotation)
       76    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
       16    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
        8    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       76    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
       95    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
        2    0.000    0.000    0.055    0.027 http11.py:1(<module>)
       16    0.000    0.000    0.219    0.014 css_parser.py:296(__init__)
        8    0.000    0.000    0.001    0.000 enum.py:513(__prepare__)
        1    0.000    0.000    0.021    0.021 _events.py:1(<module>)
        3    0.000    0.000    0.001    0.000 filter.py:378(__init__)
       15    0.000    0.000    0.000    0.000 inspect.py:747(unwrap)
        9    0.000    0.000    0.000    0.000 _connection.py:308(_get_io_object)
       12    0.000    0.000    0.000    0.000 element.py:1873(_all_strings)
       29    0.000    0.000    0.000    0.000 element.py:2173(get_attribute_list)
       60    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       35    0.000    0.000    0.000    0.000 _models.py:67(_normalize_header_key)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       44    0.000    0.000    0.000    0.000 dataclasses.py:643(<genexpr>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(create_module)
        2    0.000    0.000    0.011    0.005 _eventloop.py:1(<module>)
       15    0.000    0.000    0.001    0.000 contextlib.py:272(contextmanager)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        8    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        8    0.000    0.000    0.002    0.000 _htmlparser.py:226(handle_charref)
    49/48    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       56    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        2    0.000    0.000    0.001    0.001 _models.py:1270(info)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        8    0.000    0.000    0.000    0.000 _trace.py:12(__init__)
       14    0.000    0.000    0.001    0.000 _deprecation.py:67(deprecate)
        8    0.000    0.000    0.000    0.000 _models.py:284(__getitem__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.048    0.048 _connection.py:1(<module>)
       23    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 _synchronization.py:434(SemaphoreAdapter)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:423(_is_dunder)
        1    0.000    0.000    0.006    0.006 from_thread.py:1(<module>)
        2    0.000    0.000    0.012    0.006 core.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
       35    0.000    0.000    0.000    0.000 _models.py:74(_normalize_header_value)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        2    0.000    0.000    0.001    0.001 _tasks.py:1(<module>)
       57    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
        1    0.000    0.000    2.880    2.880 connection.py:105(_connect)
        2    0.000    0.000    0.000    0.000 message.py:529(get_all)
        1    0.000    0.000    0.001    0.001 element.py:1569(Tag)
        1    0.000    0.000    0.011    0.011 _typing.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _state.py:1(<module>)
       23    0.000    0.000    0.000    0.000 inspect.py:371(isfunction)
        7    0.000    0.000    0.000    0.000 inspect.py:2095(_signature_bound_method)
        1    0.000    0.000    0.003    0.003 ipaddress.py:2314(_IPv6Constants)
        1    0.000    0.000    6.942    6.942 financial_enhanced.py:7(get_operating_income_data)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       10    0.000    0.000    0.000    0.000 typing.py:1465(__subclasscheck__)
       14    0.000    0.000    0.079    0.006 css_parser.py:1135(process_selectors)
       21    0.000    0.000    0.000    0.000 filter.py:623(_match_attribute_value_helper)
        1    0.000    0.000    0.047    0.047 _fileio.py:1(<module>)
        1    0.000    0.000    0.004    0.004 stapled.py:1(<module>)
       28    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytearray' objects}
       43    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
        1    0.000    0.000    0.179    0.179 ssl.py:956(_create)
       15    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       16    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       37    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
        8    0.000    0.000    0.000    0.000 typing.py:1166(__mro_entries__)
        1    0.000    0.000    0.008    0.008 _headers.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
       13    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
        1    0.000    0.000    0.938    0.938 __init__.py:209(__init__)
        2    0.000    0.000    0.000    0.000 connection_pool.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _headers.py:205(get_comma_header)
       35    0.000    0.000    0.000    0.000 typing.py:1542(<genexpr>)
        3    0.000    0.000    0.002    0.001 typing.py:2761(_make_nmtuple)
      7/1    0.000    0.000    0.000    0.000 functools.py:687(_c3_mro)
       42    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    4.274    4.274 connection.py:69(handle_request)
       10    0.000    0.000    0.001    0.000 inspect.py:2799(__str__)
    16/10    0.000    0.000    0.000    0.000 typing.py:237(_type_repr)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.002    0.002 default.py:1(<module>)
        2    0.000    0.000    0.004    0.002 __init__.py:71(search_function)
        1    0.000    0.000    4.279    4.279 _client.py:1001(_send_single_request)
        2    0.000    0.000    0.441    0.220 _api.py:1(<module>)
       42    0.000    0.000    0.000    0.000 __init__.py:609(__missing__)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
       15    0.000    0.000    0.002    0.000 typing.py:1515(copy_with)
        2    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    0.409    0.409 formatter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytearray' objects}
        1    0.000    0.000    0.004    0.004 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        7    0.000    0.000    0.002    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.004    0.004 signal.py:1(<module>)
       50    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
       55    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
        1    0.000    0.000    4.274    4.274 connection_pool.py:199(handle_request)
        1    0.000    0.000    0.003    0.003 lowlevel.py:1(<module>)
        2    0.000    0.000    0.085    0.043 parser.py:1(<module>)
       16    0.000    0.000    0.000    0.000 inspect.py:1458(repl)
       36    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
       15    0.000    0.000    0.000    0.000 _util.py:108(__new__)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
       14    0.000    0.000    0.000    0.000 inspect.py:1795(_check_class)
        1    0.000    0.000    0.005    0.005 decoder.py:1(<module>)
        1    0.000    0.000    0.005    0.005 <frozen ntpath>:1(<module>)
        9    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 _events.py:82(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       23    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
       51    0.000    0.000    0.000    0.000 _policybase.py:313(header_store_parse)
        1    0.000    0.000    0.023    0.023 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.003    0.003 _connection.py:139(Connection)
        1    0.000    0.000    0.003    0.003 tls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_parser.py:667(parse_pseudo_nth)
        1    0.000    0.000    4.275    4.275 default.py:230(handle_request)
        8    0.000    0.000    0.000    0.000 formatter.py:79(__init__)
       14    0.000    0.000    0.002    0.000 dataclasses.py:661(_cmp_fn)
       51    0.000    0.000    0.000    0.000 _policybase.py:209(header_max_count)
       36    0.000    0.000    0.000    0.000 typing.py:487(__repr__)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.241    0.241 _auth.py:1(<module>)
        3    0.000    0.000    0.063    0.021 filter.py:163(find_all)
       20    0.000    0.000    0.000    0.000 _receivebuffer.py:147(is_next_line_obviously_invalid_request_line)
        7    0.000    0.000    0.000    0.000 functools.py:660(_c3_merge)
        6    0.000    0.000    0.000    0.000 _urlparse.py:497(quote)
      7/3    0.000    0.000    0.000    0.000 typing.py:1393(__repr__)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        2    0.000    0.000    0.012    0.006 readers.py:1(<module>)
       29    0.000    0.000    0.000    0.000 __init__.py:680(<genexpr>)
        1    0.000    0.000    0.002    0.002 _writers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
        1    0.000    0.000    2.701    2.701 socket.py:810(create_connection)
       23    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       14    0.000    0.000    0.000    0.000 inspect.py:1816(getattr_static)
        8    0.000    0.000    0.001    0.000 typing.py:1822(__new__)
       32    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
        5    0.000    0.000    0.000    0.000 filter.py:224(__init__)
        1    0.000    0.000    0.002    0.002 _decoders.py:1(<module>)
        1    0.000    0.000    0.045    0.045 to_thread.py:1(<module>)
       44    0.000    0.000    0.000    0.000 inspect.py:2777(kind)
        1    0.000    0.000    2.444    2.444 socket.py:946(getaddrinfo)
       14    0.000    0.000    0.000    0.000 css_parser.py:449(__init__)
        1    0.000    0.000    2.701    2.701 sync.py:188(connect_tcp)
        1    0.000    0.000    0.001    0.001 _client.py:189(__init__)
        1    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        1    0.000    0.000    0.000    0.000 _models.py:252(get_list)
       21    0.000    0.000    0.000    0.000 inspect.py:295(isclass)
        8    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
       13    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        3    0.000    0.000    0.000    0.000 _connection.py:518(send_with_data_passthrough)
        2    0.000    0.000    0.003    0.001 _subprocesses.py:1(<module>)
        6    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        5    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        1    0.000    0.000    0.009    0.009 header.py:1(<module>)
        1    0.000    0.000    0.044    0.044 utils.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
       22    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
       18    0.000    0.000    0.000    0.000 enum.py:828(__members__)
       24    0.000    0.000    0.000    0.000 dataclasses.py:372(__init__)
        1    0.000    0.000    0.229    0.229 css_parser.py:418(CSSParser)
        1    0.000    0.000    0.000    0.000 _abnf.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing_extensions.py:518(_get_protocol_attrs)
       24    0.000    0.000    0.002    0.000 dataclasses.py:1240(dataclass)
       14    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        7    0.000    0.000    0.000    0.000 inspect.py:2121(_signature_is_builtin)
        4    0.000    0.000    0.000    0.000 typing.py:1439(__init__)
       13    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.001    0.001 _base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 dammit.py:98(EntitySubstitution)
       14    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       23    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        3    0.000    0.000    0.064    0.021 element.py:1079(_find_all)
        1    0.000    0.000    0.001    0.001 dammit.py:485(EncodingDetector)
        1    0.000    0.000    0.000    0.000 message.py:73(_parseparam)
        1    0.000    0.000    8.083    8.083 financial_enhanced.py:1(<module>)
       22    0.000    0.000    0.000    0.000 typing.py:1070(<genexpr>)
        1    0.000    0.000    0.000    0.000 _fileio.py:215(Path)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        1    0.000    0.000    0.000    0.000 message.py:656(_get_params_preserve)
        2    0.000    0.000    0.001    0.000 mock.py:1(<module>)
        1    0.000    0.000    0.028    0.028 _content.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:381(decorator)
       17    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
        1    0.000    0.000    0.003    0.003 message.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dataclasses.py:433(<genexpr>)
        1    0.000    0.000    0.001    0.001 _events.py:137(__init__)
        9    0.000    0.000    0.000    0.000 _htmlparser.py:266(handle_entityref)
        1    0.000    0.000    0.001    0.001 _receivebuffer.py:47(ReceiveBuffer)
        1    0.000    0.000    0.002    0.002 charset.py:1(<module>)
        1    0.000    0.000    0.008    0.008 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
       14    0.000    0.000    0.000    0.000 dataclasses.py:349(__set_name__)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
        1    0.000    0.000    0.002    0.002 asgi.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
        1    0.000    0.000    0.000    0.000 connection_pool.py:409(close)
       16    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.179    0.179 sync.py:144(start_tls)
        1    0.000    0.000    0.001    0.001 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       31    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
       10    0.000    0.000    0.000    0.000 typing.py:1194(__instancecheck__)
        1    0.000    0.000    0.115    0.115 css_parser.py:316(__init__)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
       13    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        1    0.000    0.000    0.005    0.005 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _client.py:188(BaseClient)
        2    0.000    0.000    0.000    0.000 _models.py:274(update)
        6    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        7    0.000    0.000    0.001    0.000 dataclasses.py:675(_hash_fn)
        1    0.000    0.000    0.002    0.002 request.py:315(__init__)
       15    0.000    0.000    0.000    0.000 ssl.py:938(_sslcopydoc)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 http11.py:152(_send_request_body)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
       32    0.000    0.000    0.000    0.000 inspect.py:2765(name)
        1    0.000    0.000    0.001    0.001 http11.py:140(_send_request_headers)
        7    0.000    0.000    0.001    0.000 dataclasses.py:882(_hash_add)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
       27    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
