('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         755328 function calls (731086 primitive calls) in 5.923 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1057    0.005    0.000    0.011    0.000 _parser.py:312(_class_escape)
     3817    0.005    0.000    0.005    0.000 {method 'add' of 'set' objects}
      215    0.005    0.000    0.066    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     4210    0.005    0.000    0.005    0.000 element.py:2219(__bool__)
      804    0.005    0.000    0.007    0.000 _parser.py:372(_escape)
      223    0.005    0.000    1.655    0.007 {method 'read' of '_io.BufferedReader' objects}
     1437    0.005    0.000    0.007    0.000 enum.py:1544(_get_value)
     3156    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
     2710    0.004    0.000    0.005    0.000 __init__.py:636(set_up_substitutions)
     2710    0.004    0.000    0.004    0.000 __init__.py:290(can_be_empty_element)
      299    0.004    0.000    2.865    0.010 ssl.py:1237(recv_into)
      260    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap>:304(acquire)
     1363    0.004    0.000    0.009    0.000 _parser.py:172(__setitem__)
     2819    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
     2873    0.004    0.000    0.004    0.000 element.py:2763(descendants)
        1    0.004    0.004    0.004    0.004 models.py:909(text)
      310    0.004    0.000    0.013    0.000 typing.py:175(_type_check)
      165    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
     2727    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     2709    0.004    0.000    0.004    0.000 _markupbase.py:36(getpos)
       10    0.004    0.000    0.028    0.003 enum.py:919(_convert_)
     1005    0.004    0.000    0.013    0.000 _compiler.py:398(_simple)
      190    0.004    0.000    0.059    0.000 _compiler.py:511(_compile_info)
      330    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      299    0.004    0.000    2.872    0.010 socket.py:693(readinto)
    218/4    0.004    0.000    1.348    0.337 <frozen importlib._bootstrap>:1349(_find_and_load)
     2599    0.004    0.000    0.004    0.000 {method 'keys' of 'dict' objects}
     2560    0.003    0.000    0.003    0.000 parser.py:127(clear_cdata_mode)
      942    0.003    0.000    0.005    0.000 _parser.py:449(_uniq)
     2541    0.003    0.000    0.003    0.000 {built-in method builtins.chr}
      928    0.003    0.000    0.006    0.000 typing.py:1134(_is_dunder)
      380    0.003    0.000    0.011    0.000 enum.py:1562(__and__)
      165    0.003    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     2322    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      260    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
     1300    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
      853    0.003    0.000    0.008    0.000 typing.py:1188(__setattr__)
      192    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      268    0.003    0.000    0.004    0.000 _compiler.py:386(_mk_bitmap)
      9/7    0.003    0.000    0.006    0.001 {built-in method _imp.create_dynamic}
      165    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      190    0.003    0.000    0.865    0.005 _compiler.py:740(compile)
      299    0.003    0.000    2.860    0.010 ssl.py:1095(read)
       11    0.003    0.000    1.673    0.152 {method 'join' of 'bytes' objects}
    217/4    0.003    0.000    1.347    0.337 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      197    0.003    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
    52/14    0.002    0.000    0.078    0.006 css_parser.py:911(parse_selectors)
     1641    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
      136    0.002    0.000    0.004    0.000 css_parser.py:359(__init__)
     1754    0.002    0.000    0.002    0.000 {method 'isupper' of 'str' objects}
     1232    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
       77    0.002    0.000    0.026    0.000 css_parser.py:462(parse_attribute_selector)
      858    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      134    0.002    0.000    0.016    0.000 typing.py:1242(__init__)
      260    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1473    0.002    0.000    0.003    0.000 financial.py:24(<lambda>)
     1434    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     1676    0.002    0.000    0.002    0.000 {built-in method _sre.unicode_iscased}
       86    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
      825    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1226(__exit__)
    192/4    0.002    0.000    1.345    0.336 <frozen importlib._bootstrap>:911(_load_unlocked)
     1005    0.002    0.000    0.002    0.000 {built-in method fromkeys}
      495    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      825    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       17    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
     1520    0.002    0.000    0.002    0.000 filter.py:259(_base_match)
       39    0.002    0.000    0.015    0.000 response.py:122(decompress)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      412    0.002    0.000    0.003    0.000 _parser.py:265(getwhile)
      739    0.002    0.000    0.003    0.000 _parser.py:83(groups)
  734/677    0.002    0.000    0.002    0.000 {built-in method builtins.hash}
     1300    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
      190    0.002    0.000    0.511    0.003 _parser.py:969(parse)
       64    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      260    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      497    0.002    0.000    0.003    0.000 enum.py:726(__call__)
    167/1    0.002    0.000    5.923    5.923 {built-in method builtins.exec}
       22    0.002    0.000    0.005    0.000 enum.py:528(__new__)
      299    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      440    0.001    0.000    0.003    0.000 socket.py:94(<lambda>)
    442/8    0.001    0.000    1.343    0.168 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      165    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      438    0.001    0.000    0.003    0.000 socket.py:84(<lambda>)
      437    0.001    0.000    0.003    0.000 socket.py:79(<lambda>)
      439    0.001    0.000    0.003    0.000 socket.py:89(<lambda>)
      330    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      353    0.001    0.000    0.002    0.000 enum.py:850(__setattr__)
      318    0.001    0.000    0.002    0.000 enum.py:79(_is_private)
      260    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      299    0.001    0.000    0.002    0.000 enum.py:38(_is_descriptor)
       51    0.001    0.000    0.004    0.000 <frozen abc>:105(__new__)
      735    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      174    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      660    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  192/188    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      215    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
      519    0.001    0.000    0.002    0.000 typing.py:935(__eq__)
      165    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      190    0.001    0.000    0.349    0.002 _compiler.py:573(_code)
      953    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
      600    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
        1    0.001    0.001    0.009    0.009 packages.py:1(<module>)
      217    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:416(__enter__)
       62    0.001    0.000    0.016    0.000 typing.py:687(Union)
      122    0.001    0.000    0.010    0.000 _markupbase.py:165(parse_comment)
      176    0.001    0.000    0.003    0.000 _parser.py:86(opengroup)
      423    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
  212/176    0.001    0.000    0.002    0.000 _compiler.py:436(_get_literal_prefix)
    165/4    0.001    0.000    1.345    0.336 <frozen importlib._bootstrap_external>:989(exec_module)
      299    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      402    0.001    0.000    0.002    0.000 typing.py:1252(__eq__)
      753    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      138    0.001    0.000    0.006    0.000 typing.py:1147(__init__)
      323    0.001    0.000    0.004    0.000 typing.py:166(_type_convert)
      174    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      273    0.001    0.000    0.002    0.000 css_parser.py:334(match)
      364    0.001    0.000    0.001    0.000 element.py:2160(get)
      497    0.001    0.000    0.002    0.000 enum.py:1129(__new__)
      165    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       21    0.001    0.000    3.204    0.153 __init__.py:1(<module>)
      347    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
      380    0.001    0.000    0.001    0.000 _compiler.py:570(isstring)
      308    0.001    0.000    0.002    0.000 css_parser.py:238(css_unescape)
       83    0.001    0.000    0.004    0.000 typing_extensions.py:3029(_collect_parameters)
